Song,Artists,Release Date,Popularity
Hanging By A Moment,['Lifehouse'],2000,64
Fallin',['Alicia Keys'],2001-06-26,73
All For You,['Janet Jackson'],2001-04-24,51
Drops of Jupiter,['Train'],2001-03-27,78
I'm Real (feat. Ja Rule) - Murder Remix,"['Jennifer Lopez', 'Ja Rule']",2001-01-23,63
If You're Gone - Remastered Version,['Matchbox Twenty'],2007-10-02,38
Let Me Blow Ya Mind,"['Eve', 'Gwen Stefani']",2001-01-01,72
Thank You,['Dido'],1999-11-18,25
Again,['Lenny Kravitz'],2000,54
"Independent Women, Pt. 1","[""Destiny's Child""]",2001-05-01,65
Hit 'Em up Style (Oops!),['Blu Cantrell'],2001-09-25,37
It Wasn't Me,"['Shaggy', 'Rik Rok']",2008-01-01,68
Stutter,['Joe'],2000-04-18,37
It's Been Awhile,['Staind'],2006-11-13,54
U Remind Me,['Usher'],2001-08-07,73
Where The Party At?,['Jagged Edge'],2011-02-01,20
Angel,"['Shaggy', 'Rayvon']",2008-01-01,52
Ride Wit Me,"['Nelly', 'City Spud']",2000-06-27,14
Follow Me,['Uncle Kracker'],2000-06-13,71
Peaches & Cream (feat. P. Diddy),"['112', 'Diddy']",2005-10-04,56
Drive,['Incubus'],2009-01-16,28
What Would You Do?,['City High'],2001-01-01,53
Survivor,"[""Destiny's Child""]",2001-05-01,70
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack","['Christina Aguilera', ""Lil' Kim"", 'Mea', 'P!nk']",2001-01-01,63
Ms. Jackson,['OutKast'],2000-10-31,77
Love Don't Cost a Thing,['Jennifer Lopez'],2001-07-24,1
The Way You Love Me,['Faith Hill'],1999-11-09,57
He Loves You Not,['Dream'],2001,47
Butterfly,['Crazy Town'],1999-11-04,70
Put It On Me,"['Ja Rule', 'Vita']",2012-01-01,40
Family Affair,['Mary J. Blige'],2001-01-01,70
I Hope You Dance,['Lee Ann Womack'],2000-01-01,65
South Side,['Moby'],2008-06-02,43
Don't Tell Me,['Madonna'],2009-09-18,43
Get Ur Freak On,['Missy Elliott'],2001-05-14,70
Crazy,['K-Ci & JoJo'],2006-01-01,15
Fill Me In,['Craig David'],2008-11-21,0
Someone To Call My Lover,['Janet Jackson'],2001-04-24,39
With Arms Wide Open,['Creed'],2004-11-23,3
Case Of The Ex (Whatcha Gonna Do),['Mea'],2000-01-01,52
All or Nothing,['O-Town'],2001-09-25,52
Bootylicious,"[""Destiny's Child""]",2001-05-01,62
I'm Like A Bird,['Nelly Furtado'],2000,70
Kryptonite,['3 Doors Down'],2007-01-01,50
Fiesta - Remix,"['R. Kelly', 'JAY-Z', 'Boo', 'Gotti']",2003-09-11,3
When It's Over - Remastered,['Sugar Ray'],2005-06-17,51
Jaded,['Aerosmith'],2006-10-17,30
Promise,['Jagged Edge'],2000-01-18,57
Missing You,['Case'],2001-01-01,54
Differences,['Ginuwine'],2006,52
This I Promise You,['*NSYNC'],2000-03-21,70
Izzo (H.O.V.A.),['JAY-Z'],2010-11-22,37
Crazy for This Girl,['Evan And Jaron'],2000-09-29,42
Nobody Wants to Be Lonely - Ricky Martin with Christina Aguilera,"['Ricky Martin', 'Christina Aguilera']",2008-11-18,0
