Song,Artists,Release Date,Popularity
Scars To Your Beautiful,['Alessia Cara'],2016-03-11,79
1-800-273-8255,"['Logic', 'Alessia Cara', 'Khalid']",2017-05-05,12
Slow Hands,['Niall Horan'],2017-05-04,19
Love On The Brain,['Rihanna'],2016-01-28,17
I Feel It Coming,"['The Weeknd', 'Daft Punk']",2016-11-25,21
Bounce Back,['Big Sean'],2017-02-03,5
Strip That Down,"['Liam Payne', 'Quavo']",2017-05-18,18
Fake Love,['Drake'],2017-03-18,6
Don't Wanna Know (feat. Kendrick Lamar),"['Maroon 5', 'Kendrick Lamar']",2017-11-03,7
Look What You Made Me Do,['Taylor Swift'],2017-11-10,14
Castle on the Hill,['Ed Sheeran'],2017-03-03,79
Paris,['The Chainsmokers'],2017-01-13,74
Rockabye (feat. Sean Paul & Anne-Marie),"['Clean Bandit', 'Sean Paul', 'Anne-Marie']",2016-10-21,77
Feel It Still,['Portugal. The Man'],2017-03-02,65
Let Me Love You,"['DJ Snake', 'Justin Bieber']",2016-08-05,20
Sorry Not Sorry,['Demi Lovato'],2017-09-29,14
Bank Account,['21 Savage'],2017-09-23,79
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],2016-05-06,78
Mi Gente (feat. Beyonce),"['J Balvin', 'Willy William', 'Beyonce']",2017-09-28,14
Thunder,['Imagine Dragons'],2017-06-23,23
T-Shirt,['Migos'],2017-01-27,70
Rake It Up,"['Yo Gotti', 'Nicki Minaj']",2017-10-27,70
Mercy,['Shawn Mendes'],2017-04-20,9
Tunnel Vision,['Kodak Black'],2017-02-17,57
rockstar,"['Post Malone', '21 Savage']",2017-09-15,17
In Case You Didn't Know,['Brett Young'],2017-02-10,6
Heathens,['Twenty One Pilots'],2016-06-16,81
Now Or Never,['Halsey'],2017-06-02,5
Caroline,['Amine'],2017-07-28,3
Rolex,['Ayo & Teo'],2017-03-15,74
DNA.,['Kendrick Lamar'],2017-04-14,9
Juju On That Beat (TZ Anthem),"['Zay Hilfigerrr', 'Zayion McCall']",2016-09-30,63
Swang,['Rae Sremmurd'],2016-08-12,4
Passionfruit,['Drake'],2017-03-18,16
LOYALTY. FEAT. RIHANNA.,"['Kendrick Lamar', 'Rihanna']",2017-04-14,6
Praying,['Kesha'],2017-07-06,14
goosebumps,['Travis Scott'],2016-09-16,86
Cold,"['Maroon 5', 'Future']",2017-02-14,9
Broccoli (feat. Lil Yachty),"['DRAM', 'Lil Yachty']",2016-10-21,70
Slide (feat. Frank Ocean & Migos),"['Calvin Harris', 'Frank Ocean', 'Migos']",2017-02-24,74
What Ifs (feat. Lauren Alaina),"['Kane Brown', 'Lauren Alaina']",2016-12-02,77
Chained To The Rhythm,"['Katy Perry', 'Skip Marley']",2017-06-09,11
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","['Calvin Harris', 'Pharrell Williams', 'Katy Perry', 'Big Sean']",2017-06-30,76
All Time Low,['Jon Bellion'],2016-06-10,73
Hurricane,['Luke Combs'],2017-06-02,78
Too Good At Goodbyes,['Sam Smith'],2017-11-03,82
Young Dumb & Broke,['Khalid'],2017-04-27,82
Magnolia,['Playboi Carti'],2017-04-14,3
Love Galore (feat. Travis Scott),"['SZA', 'Travis Scott']",2017-06-09,76
Drowning (feat. Kodak Black),"['A Boogie Wit da Hoodie', 'Kodak Black']",2017-09-29,77
Starving,"['Hailee Steinfeld', 'Grey', 'Zedd']",2016-07-22,13
Both (feat. Drake),"['Gucci Mane', 'Drake']",2016-12-16,69
What About Us,['P!nk'],2017-08-10,64
Swalla (feat. Nicki Minaj & Ty Dolla $ign),"['Jason Derulo', 'Nicki Minaj', 'Ty Dolla $ign']",2017-02-23,77
Slippery (feat. Gucci Mane),"['Migos', 'Gucci Mane']",2017-01-27,74
Sign of the Times,['Harry Styles'],2017-05-12,80
Water Under the Bridge,['Adele'],2016-06-24,66
Malibu,['Miley Cyrus'],2017-09-29,77
Down,['Marian Hill'],2016-06-24,9
No Promises (feat. Demi Lovato),"['Cheat Codes', 'Demi Lovato']",2017-03-31,72
Treat You Better,['Shawn Mendes'],2017-04-20,11
I Get the Bag (feat. Migos),"['Gucci Mane', 'Migos']",2017-10-13,73
Small Town Boy,['Dustin Lynch'],2017-09-08,74
Everyday We Lit (feat. PnB Rock),"['YFN Lucci', 'PnB Rock']",2017-03-03,66
Havana,"['Camila Cabello', 'Young Thug']",2017-08-03,25
What Lovers Do (feat. SZA),"['Maroon 5', 'SZA']",2017-11-03,16
do re mi,['blackbear'],2017-04-21,3
Look At Me!,['XXXTENTACION'],2017-02-20,81
The Fighter,"['Keith Urban', 'Carrie Underwood']",2016-12-16,50
