Song,Artists,Release Date,Popularity
Boom Boom Pow,['Black Eyed Peas'],2009-01-01,63
Poker Face,['Lady Gaga'],2008-01-01,53
Just Dance,"['Lady Gaga', ""Colby O'Donis""]",2008-01-01,51
I Gotta Feeling,['Black Eyed Peas'],2009-01-01,70
Love Story,['Taylor Swift'],2008-11-11,68
Right Round,['Flo Rida'],2009-03-30,73
I'm Yours,['Jason Mraz'],2008-05-12,82
Single Ladies (Put a Ring on It),['Beyonce'],2008-11-17,70
Heartless,['Kanye West'],2008-11-24,3
Gives You Hell,['The All-American Rejects'],2008-01-01,72
You Belong With Me,['Taylor Swift'],2008-11-11,67
Dead And Gone - feat. Justin Timberlake,"['T.I.', 'Justin Timberlake']",2008-09-08,4
You Found Me,['The Fray'],2009-02-02,74
Use Somebody,['Kings of Leon'],2008-09-23,75
Knock You Down,"['Keri Hilson', 'Kanye West', 'Ne-Yo']",2009-01-01,65
Blame It,"['Jamie Foxx', 'T-Pain']",2008-12-11,66
I Know You Want Me (Calle Ocho),['Pitbull'],2009-08-28,68
Live Your Life - feat. Rihanna,"['T.I.', 'Rihanna']",2008-09-08,12
Kiss Me Thru The Phone,"['Soulja Boy', 'Sammie']",2008-01-01,76
Down,"['Jay Sean', 'Lil Wayne']",2009-01-01,76
The Climb,['Miley Cyrus'],2009-01-01,68
Best I Ever Had,['Drake'],2009-01-01,8
My Life Would Suck Without You,['Kelly Clarkson'],2009-01-19,40
Halo,['Beyonce'],2008-11-17,77
Hot N Cold,['Katy Perry'],2008-06-17,66
Second Chance,['Shinedown'],2008-06-24,67
Circus,['Britney Spears'],2008-11-28,2
Day 'N' Nite (nightmare),['Kid Cudi'],2009-01-01,73
Party In The U.S.A.,['Miley Cyrus'],2009-01-01,74
Run This Town [Jay-Z + Rihanna + Kanye West],['JAY-Z'],2009-07-24,4
Let It Rock,"['Kevin Rudolf', 'Lil Wayne']",2008,48
Fire Burning,['Sean Kingston'],2009-04-30,51
Whatcha Say,['Jason Derulo'],2010-02-24,67
LoveGame,['Lady Gaga'],2008-01-01,42
Waking Up In Vegas,['Katy Perry'],2008-06-17,53
Birthday Sex,['Jeremih'],2009-01-01,69
Sober,['P!nk'],2010-11-12,0
Womanizer,['Britney Spears'],2008-11-28,2
Whatever You Like,['T.I.'],2008-09-08,10
Obsessed,['Mariah Carey'],2009-01-01,66
Mad,['Ne-Yo'],2008-01-01,62
Good Girls Go Bad (feat. Leighton Meester),"['Cobra Starship', 'Leighton Meester']",2009-07-07,32
Love Lockdown,['Kanye West'],2008-11-24,2
So What,['P!nk'],2010-11-12,13
Hotel Room Service,['Pitbull'],2009-06-11,61
Crack A Bottle,"['Eminem', 'Dr. Dre', '50 Cent']",2009-05-15,49
If I Were a Boy,['Beyonce'],2008-11-14,68
I Hate This Part,['The Pussycat Dolls'],2009-03-24,0
Gotta Be Somebody,['Nickelback'],2008-10-28,63
Please Don't Leave Me,['P!nk'],2010-11-12,1
Paparazzi,['Lady Gaga'],2008-01-01,48
Beautiful,"['Akon', ""Colby O'Donis"", 'Kardinal Offishall']",2008-01-01,63
Viva La Vida,['Coldplay'],2008-05-26,79
Right Now (Na Na Na),['Akon'],2008-01-01,66
Battlefield,['Jordin Sparks'],2009-07-17,59
Sugar (feat. Wynter),"['Flo Rida', 'Wynter Gordon']",2009-03-30,53
Miss Independent,['Ne-Yo'],2008-01-01,68
Fireflies,['Owl City'],2009-01-01,79
New Divide,['Linkin Park'],2009-06-12,69
Empire State Of Mind [Jay-Z + Alicia Keys],['JAY-Z'],2009-09-08,10
No Surprise,['Daughtry'],2009-05-04,0
She Wolf,['Shakira'],2009-07-10,2
Break Up,['Mario'],2009-10-08,52
Sweet Dreams,['Beyonce'],2008-11-14,62
Fallin' For You,['Colbie Caillat'],2009,59
Untouched,['The Veronicas'],2007-10-30,63
If Today Was Your Last Day,['Nickelback'],2008-10-28,68
Throw It In The Bag,"['Fabolous', 'The-Dream']",2009-01-01,59
Love Drunk,['Boys Like Girls'],2009-09-03,63
I Love College,['Asher Roth'],2009-01-01,61
If U Seek Amy,['Britney Spears'],2008-11-28,1
Big Green Tractor,['Jason Aldean'],2009,6
White Horse,['Taylor Swift'],2008-11-11,58
Disturbia,['Rihanna'],2008-06-02,72
21 Guns,['Green Day'],2009-05-15,76
Turn My Swag On,['Soulja Boy'],2008-01-01,57
Rockin' That Thang - Album Version (Edited),['The-Dream'],2009-01-01,37
Chicken Fried,['Zac Brown Band'],2008-11-17,60
Diva,['Beyonce'],2008-11-14,61
Replay,['Iyaz'],2009-08-11,73
Then,['Brad Paisley'],2009-06-30,64
Her Diamonds,['Rob Thomas'],2009-06-22,60
How Do You Sleep? - Radio Edit Remix,"['Jesse McCartney', 'Ludacris']",2008,57
3,['Britney Spears'],2009-10-02,2
Forever,"['Drake', 'Kanye West', 'Lil Wayne', 'Eminem']",2009-01-01,66
One Time,['Justin Bieber'],2009-01-01,69
I Run To You,['Lady Antebellum'],2008-01-01,59
I Do Not Hook Up,['Kelly Clarkson'],2009-03-06,49
Green Light (feat. Andre 3000),"['John Legend', 'Andre 3000']",2008-10-27,57
People Are Crazy,['Billy Currington'],2011-01-01,51
Whatever It Is,['Zac Brown Band'],2008-11-17,47
Already Gone,['Kelly Clarkson'],2009-03-09,54
Goodbye,['Kristinia DeBarge'],2009-01-01,48
Say Hey (I Love You),"['Michael Franti & Spearhead', 'Cherine Anderson']",2008,5
Pop Champagne - Explicit Album Version,"['Jim Jones', 'Ron Browz', 'Juelz Santana']",2008-10-07,32
Pretty Wings - uncut,['Maxwell'],2009-07-07,58
Never Say Never,['The Fray'],2009-02-02,68
Gold Guns Girls,['Metric'],2009-04-14,0
